"","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Colombia","6.2","6.4","6.0","6.1","5.9","6.1","6.4","6.0","5.7","5.7","5.5","5.1","5.6","5.3","5.6","5.5"
"Comoros","8.0","8.0","8.3","8.3","9.5","8.7","8.7","9.1","9.4","9.7","10.1","10.2","10.6","11.2","10.9","12.1"
"Congo","3.4","2.4","2.4","2.0","1.9","2.0","2.2","2.2","2.0","1.8","1.9","2.1","2.1","1.9","2.4","1.7"
"Cook Islands","2.7","3.3","3.3","3.1","3.4","3.5","3.5","3.3","3.7","3.7","4.2","3.6","3.4","3.6","3.4","3.2"
"Costa Rica","8.1","8.2","8.3","8.1","8.4","8.1","7.9","7.5","7.0","7.0","6.7","6.6","7.0","6.9","6.4","6.5"
"Côte d'Ivoire","5.4","5.2","5.1","6.0","5.9","6.1","6.2","6.1","6.3","5.8","5.4","5.2","4.6","4.5","4.9","5.7"
"Croatia","7.4","7.5","7.3","7.8","7.8","8.1","8.2","7.7","7.5","7.0","6.9","6.6","6.4","6.2","7.2","7.7"
"Cuba","10.9","10.3","8.3","8.3","11.8","11.8","9.3","10.0","9.3","8.3","10.1","6.8","7.1","7.1","7.0","6.4"
"Cyprus","6.8","6.8","6.9","6.7","6.6","6.3","6.5","6.0","5.2","5.3","5.3","5.3","5.5","5.6","5.3","5.3"
"Czechia","7.3","7.7","7.8","7.0","7.0","6.9","7.3","6.4","6.0","6.2","6.4","6.4","6.6","6.2","5.9","5.7"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","4.3","4.4","3.9","3.6","3.5","4.0","5.2","3.9","3.3","3.1","3.0","3.2","3.1","2.6","2.6","1.4"
"Denmark","10.3","10.3","10.2","10.3","10.2","10.4","10.7","9.5","9.3","9.2","9.1","9.0","8.9","8.7","8.4","8.1"
"Djibouti","4.4","4.1","4.1","4.6","4.7","4.3","4.5","4.5","4.8","4.9","4.5","4.7","5.6","5.0","3.9","4.1"
"Dominica","5.4","5.2","5.0","5.4","4.6","5.1","5.0","4.5","4.7","4.5","4.6","4.3","4.6","4.7","4.6","4.7"
"Dominican Republic","6.2","6.1","6.0","5.9","5.6","5.6","5.1","4.7","4.2","4.2","4.6","4.4","4.3","4.4","4.3","4.2"
"Ecuador","8.5","8.6","8.5","8.4","7.8","7.5","6.6","6.1","5.9","5.7","5.6","5.6","5.4","4.5","3.7","3.3"
"Egypt","4.2","4.1","4.6","4.9","4.6","4.4","4.6","4.7","4.7","5.1","5.2","5.1","5.5","5.8","5.7","5.2"
"El Salvador","6.9","6.8","6.9","6.7","6.8","6.9","6.8","6.2","6.3","6.7","7.2","7.3","7.3","7.7","7.8","8.0"
"Equatorial Guinea","2.7","1.8","1.7","1.4","1.3","1.5","1.7","1.3","1.5","1.5","0.8","1.0","1.2","1.0","2.3","2.5"
"Eritrea","3.3","3.4","3.2","3.2","3.4","3.7","4.0","4.7","4.1","5.3","5.3","5.4","5.7","5.5","5.3","5.6"
"Estonia","6.5","6.2","6.0","5.8","5.8","6.3","6.5","5.8","5.0","4.9","5.0","5.1","4.9","4.7","4.8","5.2"
"Ethiopia","4.0","4.0","4.1","4.6","4.5","5.5","4.4","4.3","4.8","4.3","4.1","4.3","4.9","4.7","4.8","4.4"
"Fiji","3.6","3.7","3.5","3.5","3.4","3.6","3.7","3.3","3.7","3.6","3.5","3.5","3.2","3.2","3.1","3.7"
"Finland","9.4","9.5","9.5","9.3","8.9","8.9","8.9","8.1","7.8","8.0","8.0","7.8","7.7","7.4","7.0","6.8"
"France","11.1","11.1","10.9","10.8","10.7","10.7","10.8","10.1","10.0","10.0","10.2","10.1","10.0","10.0","9.7","9.5"
"Gabon","2.7","2.5","2.8","2.4","2.6","2.5","3.5","2.6","2.9","2.9","2.8","3.3","3.5","3.2","3.2","2.9"
"Gambia","6.7","7.0","6.1","6.1","6.2","5.7","5.8","5.9","5.7","5.5","4.9","4.4","4.2","3.8","3.7","3.6"
"Georgia","7.9","8.4","8.4","8.4","8.4","9.5","9.8","8.7","7.6","7.8","8.3","8.3","8.2","8.0","7.4","7.4"
"Germany","11.2","11.1","11.0","10.8","10.7","11.0","11.2","10.2","10.0","10.1","10.3","10.1","10.4","10.1","9.9","9.8"
"Ghana","5.9","5.5","5.8","5.5","6.1","6.5","6.5","6.4","6.2","6.2","6.3","5.1","5.1","5.0","5.6","5.1"
"Greece","8.4","7.9","8.3","8.8","9.1","9.6","9.5","9.4","9.1","9.0","9.0","7.9","8.2","8.2","8.0","7.2"
"Grenada","5.0","5.3","5.6","5.8","6.1","6.1","6.0","5.7","5.7","5.8","5.3","5.1","5.2","5.8","5.4","5.1"
"Guatemala","5.7","6.2","6.2","6.3","6.2","6.4","6.6","6.5","6.7","6.9","6.6","6.7","6.8","6.7","6.7","5.2"
"Guinea","4.5","4.3","4.7","4.6","5.1","4.4","4.3","4.3","4.6","4.3","4.5","4.6","5.0","6.0","5.2","5.0"
"Guinea-Bissau","6.9","6.3","4.7","4.8","5.4","6.2","6.6","6.8","6.8","6.4","6.3","6.9","5.7","5.2","6.1","6.3"
"Guyana","4.5","5.1","5.0","4.8","4.9","4.6","4.6","4.2","4.0","4.0","5.4","5.0","5.2","4.8","4.5","4.4"
"Haiti","6.9","7.2","7.2","10.1","10.6","10.2","8.7","7.7","6.8","5.5","5.5","5.9","5.8","6.0","6.6","6.9"
"Honduras","7.6","7.7","8.2","8.4","7.6","8.2","8.5","8.1","7.8","7.5","7.2","6.7","6.8","6.2","5.9","6.3"
"Hungary","7.2","7.1","7.3","7.5","7.6","7.6","7.3","7.1","7.3","7.8","8.0","7.8","8.1","7.1","6.8","6.8"
"Iceland","8.6","8.8","8.7","8.7","8.6","8.8","9.1","8.7","8.7","8.9","9.2","9.6","10.1","9.6","8.9","9.0"
"India","3.9","3.6","3.7","3.3","3.2","3.3","3.5","3.5","3.5","3.6","3.8","4.0","4.0","4.2","4.3","4.2"
"Indonesia","3.3","3.4","3.4","3.4","3.3","3.5","2.8","2.8","3.1","2.9","2.8","2.3","2.4","2.1","2.2","2.0"
"Iran (Islamic Republic of)","7.6","7.1","6.3","6.8","6.7","7.8","7.5","6.1","5.8","5.8","6.0","5.8","5.7","5.3","5.8","5.2"
"Iraq","3.4","3.4","3.2","3.2","2.9","3.3","3.8","3.0","3.1","2.4","2.9","3.8","3.0","No data","No data","No data"
"Ireland","7.8","9.9","10.4","10.1","9.9","10.5","10.5","9.1","7.8","7.5","7.6","7.2","7.0","6.7","6.4","5.9"
"Israel","7.4","7.4","7.1","7.1","7.0","7.1","7.1","7.0","6.9","6.9","7.1","7.0","7.1","7.2","7.2","6.8"
"Italy","9.0","9.0","9.0","9.0","8.8","9.0","9.0","8.6","8.2","8.5","8.4","8.2","7.9","7.9","7.8","7.6"
"Jamaica","5.9","5.5","5.8","5.3","5.5","5.4","5.2","5.5","5.1","4.4","4.1","4.8","4.6","4.9","5.3","5.8"
"Japan","10.9","10.8","10.8","10.8","10.6","9.2","9.1","8.2","7.9","7.8","7.8","7.7","7.6","7.5","7.4","7.2"
"Jordan","6.3","7.4","7.3","8.0","8.3","8.1","9.5","8.8","8.3","8.1","8.9","9.0","9.1","9.7","9.9","9.6"
"Kazakhstan","3.9","3.6","3.8","4.0","3.6","4.2","4.3","3.6","3.2","3.7","4.0","4.0","3.8","3.9","3.6","4.2"
"Kenya","5.2","5.5","5.7","5.7","5.5","6.4","5.3","4.8","5.0","4.6","5.1","5.1","5.2","5.5","5.4","5.2"
"Kiribati","7.6","9.6","9.4","8.7","8.8","9.4","13.7","14.2","11.6","11.7","11.5","12.4","10.7","11.7","12.1","8.6"
"Kuwait","4.0","3.2","2.6","2.6","2.6","2.8","3.9","1.9","2.1","2.3","2.4","2.8","3.2","3.6","3.6","2.5"
"Kyrgyzstan","8.2","8.3","8.2","8.5","7.2","7.1","7.0","6.6","6.9","8.3","7.5","6.2","5.8","4.6","4.3","4.4"
"Lao People's Democratic Republic","2.8","2.6","2.7","2.3","2.2","3.2","4.0","3.0","3.5","4.1","4.8","4.9","5.0","4.2","4.8","4.7"
"Latvia","5.8","7.8","7.5","7.6","7.9","8.6","8.9","8.5","8.9","8.8","8.9","9.3","8.2","8.5","8.4","7.9"
"Lebanon","7.4","7.4","7.5","8.0","8.1","7.5","7.1","7.9","8.6","8.8","7.6","8.1","8.6","9.1","10.4","10.7"
"Lesotho","8.4","8.6","7.9","7.7","7.2","6.2","8.3","7.5","7.0","5.9","5.3","5.9","6.0","5.9","6.3","5.8"
"Liberia","15.2","14.1","9.2","9.3","10.5","10.0","10.6","11.0","10.3","8.1","8.5","7.9","3.5","2.9","3.7","3.8"
"Libya","No data","No data","No data","No data","5.0","3.4","3.9","2.3","2.4","2.5","2.6","3.5","4.1","4.9","4.1","3.4"
"Lithuania","6.5","6.2","6.1","6.3","6.5","6.8","7.4","6.3","5.8","5.8","5.6","5.5","6.2","6.2","5.8","5.8"
"Luxembourg","6.0","6.3","6.5","6.6","6.1","7.0","7.3","6.5","6.2","6.7","7.2","7.3","7.0","6.7","6.4","5.9"
"Madagascar","5.2","4.9","4.0","3.8","5.0","5.4","5.1","4.6","5.3","5.6","5.5","5.5","4.8","5.9","5.7","5.3"
"Malawi","9.3","9.7","11.6","8.5","7.5","7.2","8.3","8.6","7.7","6.9","6.1","5.7","4.7","3.9","3.7","4.4"
"Malaysia","4.0","3.9","3.7","3.6","3.5","3.3","3.4","3.1","3.3","3.3","2.9","3.0","3.0","2.7","2.7","2.4"
"Maldives","11.5","13.0","11.0","8.4","10.2","9.3","10.6","11.6","8.9","8.0","8.8","7.5","6.4","7.1","8.0","7.4"
"Mali","5.8","5.8","5.4","4.4","4.1","4.4","4.7","4.8","5.2","5.3","5.0","5.2","4.6","4.4","4.3","5.1"
"Malta","9.6","9.5","8.9","8.6","8.6","8.2","8.1","8.0","8.2","8.8","8.7","8.1","8.0","7.7","7.0","6.5"
"Marshall Islands","22.1","18.8","19.5","18.7","19.1","19.3","20.9","21.7","22.8","27.4","26.3","21.7","19.0","19.1","21.4","25.2"
"Mauritania","4.6","4.2","3.6","3.3","3.2","3.3","3.9","3.8","3.6","3.4","4.5","4.6","5.1","5.2","4.6","4.5"
"Mauritius","5.5","5.4","4.7","4.4","4.4","4.7","4.4","4.1","3.7","3.8","3.7","3.5","3.4","3.4","3.1","3.0"
"Mexico","5.9","5.7","6.0","5.9","5.8","6.0","6.2","5.7","5.8","5.7","5.9","6.0","5.9","5.4","5.3","4.9"
"Micronesia (Federated States of)","13.1","12.4","11.9","12.0","12.9","12.9","12.6","11.9","11.1","10.7","11.5","10.4","9.5","7.8","8.4","7.7"
"Monaco","2.0","2.1","2.1","2.2","2.2","2.3","2.3","1.9","1.8","2.0","2.1","2.1","2.1","1.8","1.8","1.7"
"Mongolia","3.9","3.8","4.0","3.7","4.1","4.2","4.2","4.1","3.8","3.5","4.2","4.2","4.4","5.1","4.9","5.5"
"Montenegro","6.0","5.9","6.0","6.1","5.8","5.9","5.5","6.2","6.6","7.2","7.7","7.9","8.3","7.7","7.6","6.7"
"Morocco","5.5","5.7","5.6","5.7","5.7","5.9","5.8","5.3","5.4","4.9","4.8","4.7","4.6","4.4","4.1","4.0"
"Mozambique","5.4","5.5","4.7","5.1","4.4","5.1","5.0","4.6","5.4","6.2","6.4","5.0","5.3","3.9","4.3","3.7"
"Myanmar","4.9","4.9","2.0","1.9","1.7","1.9","2.0","1.8","1.6","1.7","1.8","1.9","2.0","2.1","1.8","1.8"
"Namibia","8.9","8.2","8.6","9.2","9.7","9.5","8.2","9.9","10.9","12.1","12.4","11.0","11.1","10.4","11.3","11.5"
"Nauru","4.8","5.5","4.9","7.5","8.2","10.7","10.3","19.5","26.2","14.4","12.6","11.6","14.4","15.6","14.3","13.5"
"Nepal","6.1","5.8","5.7","5.2","5.1","5.0","4.5","4.4","4.2","4.0","4.5","4.6","4.4","4.6","4.4","3.6"
"Netherlands","10.7","10.9","10.9","10.9","10.5","10.4","10.2","9.5","9.2","9.2","9.3","8.5","8.5","8.0","7.4","7.1"
"New Zealand","9.3","9.4","9.4","9.7","9.6","9.7","9.7","9.1","8.3","8.6","8.3","7.9","7.7","7.9","7.6","7.5"
"Nicaragua","7.8","7.6","7.4","7.5","7.1","6.5","7.1","6.6","6.5","5.7","5.5","5.4","4.8","5.3","5.1","5.2"
"Niger","7.2","5.9","6.1","6.0","6.5","6.2","6.8","6.7","7.0","7.5","7.2","6.4","5.7","6.0","5.9","5.7"
"Nigeria","3.6","3.3","3.4","3.3","3.3","3.3","3.5","3.7","3.8","3.9","3.8","4.0","4.5","2.1","2.7","2.6"
"Niue","6.3","7.7","7.3","7.3","14.0","9.8","14.5","14.5","12.1","40.0","10.1","12.2","11.4","11.1","38.1","7.9"
"Norway","10.0","9.3","8.9","8.8","8.8","8.9","9.1","8.0","8.1","7.9","8.3","8.8","9.2","9.0","8.0","7.7"
"Oman","3.8","3.5","2.8","2.6","2.6","2.7","2.8","2.0","2.4","2.3","2.6","3.0","3.2","3.2","3.1","3.1"
"Pakistan","2.7","2.7","2.6","2.4","2.4","2.6","2.6","3.0","3.3","3.2","2.9","2.5","2.6","2.9","2.9","3.1"
"Palau","10.6","11.9","11.8","11.4","10.4","11.5","10.1","9.4","9.8","9.4","9.0","10.1","8.7","8.4","8.1","9.5"
"Panama","7.0","6.8","6.6","6.1","6.0","6.6","6.5","6.5","6.6","6.9","6.6","7.5","7.1","7.5","7.4","7.5"
"Papua New Guinea","3.8","4.5","4.9","3.7","3.2","3.1","3.3","3.1","3.6","3.7","3.7","4.1","3.8","3.5","3.2","3.0"
"Paraguay","7.8","7.6","7.0","7.6","6.7","6.2","6.2","5.5","5.4","5.3","5.0","5.0","4.9","4.7","5.5","5.8"
"Peru","5.3","5.1","4.8","4.7","4.6","4.7","4.9","4.4","4.4","4.5","4.6","4.8","5.0","5.0","4.8","4.4"
"Philippines","4.4","4.2","4.5","4.4","4.2","4.3","4.4","4.0","3.9","3.9","3.9","3.2","3.2","2.7","2.9","3.2"
