"Asset values and income are colored to denote the change in value from the previous year's filing (increase, decrease, no change)
",,,,,,,,,,,,,,,,,,,,,,,
2017_ID #,New 2017 Asset,2017_Page,2017_Description,2017_Underlying Assets,2017_Location,2017_EIF,2017_attached schedule,2017_Min Value,2017_Max Value,%Change_Value,2016_Min Value,2016_Max Value,2017_Income Type,2017_Min Income,2017_Max Income,2017_Income Exact,%Change_Income,2016_Min Income,2016_Max Income,2016_Income Exact,2016_ID #,2016_Page,2016_Description
150,,26,The Art of the Comeback,book,"New York, NY",N/A,,,,0%,,,,$0,$201,,0%,$0,$201,,150,26,The Art of the Comeback
151,,26,Why We Want You to be Rich,book,"New York, NY",N/A,,,,0%,,,,$0,$201,,0%,$0,$201,,151,26,Why We Want You to be Rich
152,,26,Trump 101: The Way to Success,book,"New York, NY",N/A,,,,0%,,,,$0,$201,,0%,$0,$201,,152,26,Trump 101: The Way to Success
153,,27,The America We Deserve,book,"New York, NY",N/A,,,,0%,,,,$0,$201,,0%,$0,$201,,153,27,The America We Deserve
154,,27,Never Give Up,book,"New York, NY",N/A,,,,0%,,,,$0,$201,,0%,$0,$201,,154,27,Never Give Up
155,,27,The Best Real Estate Advice I Ever Recieved,book,"New York, NY",N/A,,,,0%,,,,$0,$201,,0%,$0,$201,,155,27,The Best Real Estate Advice I Ever Recieved
156,,27,The Way to the Top,book,"New York, NY",N/A,,,,0%,,,,$0,$201,,-83%,$201,"$1,000",,156,27,The Way to the Top
157,,27,How to Get Rich,book,"New York, NY",N/A,,,,0%,,,royalties,"$5,001","$15,000",,0%,"$5,001","$15,000",,157,27,How to Get Rich
158,,27,Think Big and Kick Ass,book,"New York, NY",N/A,,,,0%,,,,$0,$201,,0%,$0,$201,,158,27,Think Big and Kick Ass
159,,27,Surviving at the Top,book,"New York, NY",N/A,,,,0%,,,,$0,$201,,0%,$0,$201,,159,27,Surviving at the Top
160,,27,Screen Actors Guild Pension,pension,"Burbank, CA",N/A,,,,0%,,,pension,,,"$84,292",-100%,,,"$168,684",160,27,Screen Actors Guild Pension
169,,28,THC Miami Restaurant Hospitality LLC,bank account,"Miami, FL",N/A,178,"$500,001","$1,000,000",100%,"$250,001","$500,000",food & beverage related sales,,,"$7,390,861",-7%,,,"$7,897,325",169,28,THC Miami Restaurant Hospitality LLC
172,,28,40 Wall Street Commercial LLC,bank account,"New York, NY",N/A,4,"$15,001","$50,000",0%,"$15,001","$50,000",,$0,$201,,0%,$0,$201,,172,28,40 Wall Street Commercial LLC
173,,28,DT Dubai II Golf Manager LLC,bank account/management deal,"Dubai, UAE",N/A,61,"$15,001","$50,000",0%,"$15,001","$50,000",royalties,$0,$201,,-100%,"$1,000,001","$5,000,000",,173,29,DT Dubai II Golf Manager LLC
174,,28,DT Tower Gurgaon LLC,bank account/license deal,"Gurgaon, India",N/A,91,"$1,001","$15,000",0%,"$1,001","$15,000",royalties,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,174,29,Dt Tower Gurgaon LLC
176,,28,Tag Air Inc,bank account,"New York, NY",N/A,161,"$15,001","$50,000",306%,"$1,001","$15,000",aircraft related revenue/expense reimbursements,,,"$7,727,674",52%,,,"$3,713,693",176,29,Tag Air Inc
178,,28,THC IMEA Development LLC,developer,"New York, NY",N/A,177,"$15,001","$50,000",0%,"$15,001","$50,000",,$0,$201,,0%,$0,$201,,178,29,THC IMEA Development LLC
181,,28,DT Bali Technical Services Manager LLC,bank account/management deal,"Bali, Indonesia",N/A,497,"$1,001","$15,000",1499%,$0,"$1,001",management fees,,,"$190,476",56%,,,"$83,333",181,30,DT Bali Technical Services Manager LLC
182,,28,DT Connect Europe Limited,aircraft,"Turnberry, Scotland",N/A,499,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",rent,"$100,001","$1,000,000",,1592%,"$15,001","$50,000",,182,30,DT Connect Europe Limited
183,,29,DT Endeavor I LLC,bank account/management deal,"Palm Beach, FL",N/A,500,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",,$0,$201,,0%,$0,$201,,183,30,DT Endeavor I LLC
184,,29,DT Lido Technical Services Manager LLC,bank account/management deal,"Lido, Indonesia",N/A,509,$0,"$1,001",0%,$0,"$1,001",management fees,,,"$83,333",0%,,,"$83,333",184,30,DT Lido Technical Services Manager LLC
187,,29,Mobile Payroll Construction LLC,bank account,"Bedminister, NJ",N/A,523,"$50,001","$100,000",0%,"$50,001","$100,000",,$0,$201,,0%,$0,$201,,187,31,Mobile Payroll Construction LLC
188,,29,Crippled America,book,"New York, NY",N/A,,,,0%,,,royalties,"$1,000,001","$5,000,000",,0%,"$1,000,001","$5,000,000",,188,31,Crippled America
189,NEW,29,DTTM Operations LLC,bank account,"New York, NY",N/A,519,"$15,001","$50,000",,,,,$0,$201,,100%,,,,,,
190,NEW,29,Trump Las Vegas Managing Member,bank account,"Las Vegas, NV",N/A,309,$0,"$1,001",,,,sponser fee,,,"$53,700",100%,,,,,,
191,NEW,29,Trump Las Vegas Sales & Marketing Inc,bank account,"Las Vegas, NV",N/A,311,"$1,001","$15,000",,,,commissions,,,"$14,078,526",100%,,,,,,
192,NEW,29,DT Tower Kolkata LLC,bank account,"Kolkata, India",N/A,517,$0,"$1,001",,,,royalties,"$100,001","$1,000,000",,100%,,,,,,
193,NEW,30,DT Marks Vancouver LP,bank account,"Vancouver, Canada",N/A,193,$0,"$1,001",,,,royalties,"$5,000,001","$5,000,001",,100%,,,,,,
194,NEW,30,Storage 106 LLC,commercial real estate,"New York, NY",N/A,194,"$5,000,001","$25,000,000",,,,rent,"$100,001","$1,000,000",,100%,,,,,,
