"Asset values and income are colored to denote the change in value from the previous year's filing (increase, decrease, no change)
",,,,,,,,,,,,,,,,,,,,,,,
2017_ID #,New 2017 Asset,2017_Page,2017_Description,2017_Underlying Assets,2017_Location,2017_EIF,2017_attached schedule,2017_Min Value,2017_Max Value,%Change_Value,2016_Min Value,2016_Max Value,2017_Income Type,2017_Min Income,2017_Max Income,2017_Income Exact,%Change_Income,2016_Min Income,2016_Max Income,2016_Income Exact,2016_ID #,2016_Page,2016_Description
42,NEW,17,THC Sales & Marketing LLC,management co,"New York, NY",N/A,184,"$100,001","$250,000",,,,,$0,$201,,100%,,,,,,
43,,17,The East 61 Street Company LP,residential real estate,"New York, NY",N/A,199,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",,$0,$201,,0%,$0,$201,,43,17,The East 61 Street Company LP
44,,17,The Trump Corporation,management co,"New York, NY",N/A,200,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",management & releated fees,,,"$18,045,141",64%,,,"$6,484,095",44,17,The Trump Corporation
45,,17,The Trump-Equitable Fifth Avenue Company,bank account,"New York, NY",N/A,208,"$1,001","$15,000",1500%,$0,"$1,000",rent,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,45,17,The Trump-Equitable Fifth Avenue Company
46,,17,Trump International Golf Links - Doonbeg,golf course & resort,"Doonberg, Ireland",N/A,211,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",golf related revenue,,,"$12,498,172",-760%,,,"$107,520,645",46,17,Trump International Golf Links - Doonbeg
47,,17,TIHT Commercial LLC,commercial real estate,"New York, NY",N/A,218,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",rent,"$1,000,001","$5,000,000",,0%,"$1,000,001","$5,000,000",,47,17,TIHT Commercial LLC
48,,17,TIHT Holding Comapny LLC,hotel condo unit,"New York, NY",N/A,219,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",rent,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,48,17,TIHT Holding Comapny LLC
49,,17,Trump National Golf Club - Charlotte,golf club,"Charlotte, NC",N/A,223,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",golf related revenue,,,"$15,016,404",6%,,,"$14,125,381",49,17,Trump National Golf Club - Charlotte
50,,17,Trump National Golf Club- Hudson Valley,golf club,"Hopewell Junction, NY",N/A,225,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",golf related revenue,,,"$5,323,573",-5%,,,"$5,574,955",50,17,Trump National Golf Club- Hudson Valley
51,,18,Trump National Golf Club - Philadelphia,golf club,"Pine Hill, NJ",N/A,229,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",golf related revenue,,,"$5,258,866",-7%,,,"$5,641,122",51,17,Trump National Golf Club - Philadelphia
